liutong_rate,liutong_value,name,price,global_pro,huanshou_rate,price_change
94.44%,"¥1,506,278,588","
PIVX
                            ",￥27.02,"
<0.1%                                  ",0.65%,-9.36%
100%,"¥1,483,823,552","
MonaCoin
                            ",￥25.59,"
<0.1%                                  ",0.7%,-5.69%
64.52%,"¥1,176,966,943","
Byteball
                            ","￥1,824","
<0.1%                                  ",0.98%,-10.79%
47.41%,"¥1,519,513,095","
DigiByte
                            ",￥0.1526,"
<0.1%                                  ",0.88%,-8.96%
59.86%,"¥1,618,298,105","
SysCoin
                            ",￥3.04,"
<0.1%                                  ",1.02%,-10.43%
100%,"¥1,405,742,906","
Factom
                            ",￥161,"
<0.1%                                  ",2.47%,-3.92%
50.25%,"¥1,672,467,488","
Hshare
                            ",￥39.63,"
<0.1%                                  ",19.04%,-5.1%
30.43%,"¥1,917,555,551","
Electroneum
                            ",￥0.3,"
<0.1%                                  ",0.22%,-9.68%
76.4%,"¥1,952,749,997","
Ark
                            ",￥19.3,"
<0.1%                                  ",0.39%,-8.61%
31.45%,"¥1,972,404,131","
Zilliqa
                            ",￥0.2986,"
<0.1%                                  ",10.14%,7.45%
99.96%,"¥2,208,103,017","
Komodo
                            ",￥21.24,"
<0.1%                                  ",0.47%,-2.95%
21.5%,"¥1,736,485,745","
Cryptonex
                            ",￥38.45,"
<0.1%                                  ",0.07%,-9.45%
85.14%,"¥2,577,570,356","
Aeternity
                            ",￥11.06,"
0.1%                                   ",4.56%,-6.97%
100%,"¥2,681,282,388","
Siacoin
                            ",￥0.0812,"
0.1%                                   ",1.28%,-7.87%
32.91%,"¥2,570,634,591","
Decred
                            ",￥372,"
0.1%                                   ",0.29%,-7.59%
72.5%,"¥2,628,760,901","
BitShares
                            ",￥1.01,"
0.1%                                   ",3.22%,-7.59%
100%,"¥2,828,564,673","
Dogecoin
                            ",￥0.0249,"
0.1%                                   ",2.79%,-6.89%
60%,"¥3,002,565,028","
HT
                            ",￥10.01,"
0.1%                                   ",9.62%,-3.91%
93.7%,"¥3,723,669,779","
Steem
                            ",￥14.75,"
0.2%                                   ",0.46%,-10%
24.9%,"¥4,280,875,114","
Walton
                            ",￥172,"
0.2%                                   ",1.63%,-0.36%
87.38%,"¥3,318,084,982","
Verge
                            ",￥0.2294,"
0.1%                                   ",2.11%,-10.29%
100%,"¥3,397,609,946","
Waves
                            ",￥33.98,"
0.1%                                   ",3.86%,-9.39%
100%,"¥8,072,123,909","
NANO
                            ",￥60.58,"
0.4%                                   ",5.44%,-0.1%
100%,"¥6,283,283,926","
Zcash
                            ","￥1,818","
0.3%                                   ",5.12%,-8.02%
99.62%,"¥3,698,661,034","
Bytecoin
                            ",￥0.0201,"
0.2%                                   ",0.48%,-4.68%
100%,"¥3,269,681,672","
Stratis
                            ",￥33.1,"
0.1%                                   ",1.2%,-9.57%
73.62%,"¥8,570,128,842","
Qtum
                            ",￥116,"
0.4%                                   ",9.53%,-6.06%
86.36%,"¥9,103,890,483","
Lisk
                            ",￥88.65,"
0.4%                                   ",1.36%,-9.24%
80.95%,"¥11,121,287,886","
Bitcoin Gold
                            ",￥654,"
0.5%                                   ",1.14%,2.72%
100%,"¥12,961,428,046","
Ethereum Classic
                            ",￥129,"
0.6%                                   ",13.23%,-9%
100%,"¥19,427,548,565","
NEM
                            ",￥2.16,"
0.9%                                   ",0.87%,-3.36%
100%,"¥22,726,855,959","
IOTA
                            ",￥8.18,"
1%                                   ",0.82%,-9.96%
100%,"¥25,985,420,817","
Monero
                            ","￥1,643","
1.1%                                   ",1.93%,-9.92%
42.01%,"¥24,518,705,883","
Dash
                            ","￥3,088","
1.1%                                   ",2.39%,-5.81%
57.62%,"¥33,005,789,299","
Cardano
                            ",￥1.27,"
1.4%                                   ",2.18%,-8.32%
17.83%,"¥33,495,055,331","
Stellar
                            ",￥1.81,"
1.5%                                   ",0.58%,-8.17%
65%,"¥34,980,416,493","
NEO
                            ",￥538,"
1.5%                                   ",2.12%,-7.99%
81.01%,"¥111,074,403,312","
Bitcoin Cash(BCC)
                            ","￥6,529","
4.9%                                   ",2.45%,-2.3%
66.16%,"¥63,350,315,277","
Litecoin
                            ","￥1,140","
2.8%                                   ",6.34%,-4.84%
100%,"¥432,671,354,710","
Ethereum
                            ","￥4,410","
18.9%                                   ",2.63%,-5.11%
39.09%,"¥197,007,669,303","
Ripple
                            ",￥5.04,"
8.6%                                   ",1.21%,-4.58%
