city,area,num,owner,provice,post,type
佳木斯,0454,1360369,中国移动,黑龙江,154000,"GSM
"
哈尔滨,0451,1360450,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360451,中国移动,黑龙江,150000,"GSM
"
齐齐哈尔,0452,1360452,中国移动,黑龙江,161000,"GSM
"
牡丹江,0453,1360453,中国移动,黑龙江,157000,"GSM
"
佳木斯,0454,1360454,中国移动,黑龙江,154000,"GSM
"
绥化,0455,1360455,中国移动,黑龙江,152000,"GSM
"
黑河,0456,1360456,中国移动,黑龙江,164300,"GSM
"
七台河,0453,1360457,中国移动,黑龙江,154600,"GSM
"
双鸭山,0454,1360458,中国移动,黑龙江,155100,"GSM
"
,,,,,,
大庆,0459,1360459,中国移动,黑龙江,163000,"GSM
"
牡丹江,0453,1360460,中国移动,黑龙江,157000,"GSM
"
齐齐哈尔,0452,1360461,中国移动,黑龙江,161000,"GSM
"
齐齐哈尔,0452,1360462,中国移动,黑龙江,161000,"GSM
"
牡丹江,0453,1360463,中国移动,黑龙江,157000,"GSM
"
大庆,0459,1360464,中国移动,黑龙江,163000,"GSM
"
大庆,0459,1360465,中国移动,黑龙江,163000,"GSM
"
大庆,0459,1360466,中国移动,黑龙江,163000,"GSM
"
,,,,,,
咸阳,0910,1360910,中国移动,陕西,712000,"GSM
"
西安,029,1360911,中国移动,陕西,710000,"GSM
"
西安,029,1360912,中国移动,陕西,710000,"GSM
"
渭南,0913,1360913,中国移动,陕西,714000,"GSM
"
咸阳,0910,1360914,中国移动,陕西,712000,"GSM
"
西安,029,1360915,中国移动,陕西,710000,"GSM
"
西安,029,1360916,中国移动,陕西,710000,"GSM
"
宝鸡,0917,1360917,中国移动,陕西,721000,"GSM
"
西安,029,1360918,中国移动,陕西,710000,"GSM
"
大庆,0459,1360467,中国移动,黑龙江,163000,"GSM
"
鸡西,0453,1360468,中国移动,黑龙江,158100,"GSM
"
佳木斯,0454,1360469,中国移动,黑龙江,154000,"GSM
"
哈尔滨,0451,1360480,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360481,中国移动,黑龙江,150000,"GSM
"
齐齐哈尔,0452,1360482,中国移动,黑龙江,161000,"GSM
"
牡丹江,0453,1360483,中国移动,黑龙江,157000,"GSM
"
哈尔滨,0451,1360484,中国移动,黑龙江,150000,"GSM
"
绥化,0455,1360485,中国移动,黑龙江,152000,"GSM
"
佳木斯,0454,1360486,中国移动,黑龙江,154000,"GSM
"
西安,029,1360919,中国移动,陕西,710000,"GSM
"
西安,029,1360920,中国移动,陕西,710000,"GSM
"
咸阳,0910,1360921,中国移动,陕西,712000,"GSM
"
榆林,0912,1360922,中国移动,陕西,719000,"GSM
"
渭南,0913,1360923,中国移动,陕西,714000,"GSM
"
西安,029,1360924,中国移动,陕西,710000,"GSM
"
西安,029,1360925,中国移动,陕西,710000,"GSM
"
