salary,area,age,sex,job,date,exper,company
5000-6000元,浙江金华金东,25岁-35岁,女,"
                        财务总监
            ",2017-10-18,一年以上,"
            金华漫酷网络技术有限公司
            "
4000-5000元,浙江金华金东,不限,不限,"
                        质检员
            ",2017-10-18,不限,"
            金华漫酷网络技术有限公司
            "
5000-6000元,浙江金华婺城区,22岁-30岁,男,"
                        速卖通运营
            ",2017-10-18,一年以上,"
            金华市车达汽车用品有限公司
            "
5000-6000元,浙江金华,22岁-29岁,男,"
                        天猫运营主管
            ",2017-10-18,一年以上,"
            金华市车达汽车用品有限公司
            "
6000-8000元,浙江金华,21岁-27岁,女,"
                        淘宝天猫客服
            ",2017-10-18,一年以上,"
            金华市车达汽车用品有限公司
            "
5000-6000元,浙江金华,不限,不限,"
                        汽车金融客户经理
            ",2017-10-18,不限,"
            浙江亿融汽车销售服务有限公司
            "
3000-4000元,浙江金华婺城区,30岁-45岁,女,"
                        仓库开票管理员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
3000-4000元,浙江金华婺城区,30岁-50岁,不限,"
                        会计助理
            ",2017-10-18,一年以上,"
            金华市雪梦冷食商贸
            "
3000-4000元,浙江金华婺城区,20岁-45岁,女,"
                        经理助理
            ",2017-10-18,一年以上,"
            金华市雪梦冷食商贸
            "
3000-4000元,浙江金华义乌市,20岁-28岁,女,"
                        仓库文员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
6000-8000元,浙江金华义乌市,19岁-35岁,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        配货打包
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        客户经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        团队经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        信贷经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        诚信通/速卖通/敦煌/电子商务操作
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
3000-4000元,浙江金华义乌市,20岁-45岁,不限,"
                        饰品手工跟单
            ",2017-10-18,二年以上,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华,20岁-30岁,女,"
                        文员
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
（面谈）元,浙江金华,18岁-35岁,女,"
                        财务助理
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
3000-4000元,浙江金华,20岁-45岁,男,"
                        工程部安装/调试售后
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
5000-6000元,浙江金华义乌市,20岁-40岁,女,"
                        翻译
            ",2017-10-18,二年以上,"
            义乌市国赢进出口有限公司
            "
1000-2000元,浙江金华,24岁-40岁,不限,"
                        聊天客服
            ",2017-10-18,一年以上,"
            金华市婺城区雪平建材商行
            "
4000-5000元,浙江金华,20岁-35岁,不限,"
                        日化业务员
            ",2017-10-18,四年以上,"
            金华市婺城区俞礼冕日用百货商行
            "
3000-4000元,浙江金华,18岁-40岁,女,"
                        仓库打单文员
            ",2017-10-18,二年以上,"
            金华市婺城区俞礼冕日用百货商行
            "
4000-5000元,浙江金华,22岁-40岁,男,"
                        驾驶员
            ",2017-10-18,三年以上,"
            金华市婺城区俞礼冕日用百货商行
            "
6000-8000元,浙江金华婺城区,18岁-30岁,不限,"
                        电商专员
            ",2017-10-18,不限,"
            中企动力科技股份有限公司金华分公司
            "
（面谈）元,浙江金华义乌市,20岁-25岁,不限,"
                        实习销售工程师（义乌）
            ",2017-10-18,不限,"
            上海震旦办公自动化销售有限公司
            "
（面谈）元,浙江金华婺城区,22岁-32岁,不限,"
                        业务销售
            ",2017-10-18,不限,"
            上海震旦办公自动化销售有限公司
            "
（面谈）元,浙江金华,22岁-32岁,不限,"
                        销售工程师
            ",2017-10-18,不限,"
            上海震旦办公自动化销售有限公司
            "
5000-6000元,浙江金华婺城区,不限,不限,"
                        淘宝/天猫/京东/美工设计
            ",2017-10-18,三年以上,"
            金华市雅芬旅行用品有限公司
            "
6000-8000元,浙江金华,22岁-45岁,不限,"
                        客户经理
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
10000-15000元,浙江金华,22岁-45岁,不限,"
                        市场部经理
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
8000-10000元,浙江金华,不限,不限,"
                        业务人员
            ",2017-10-18,不限,"
            金华明家装饰工程有限公司
            "
5000-6000元,浙江金华婺城区,25岁-50岁,不限,"
                        业务员
            ",2017-10-18,一年以上,"
            金华市雪梦冷食商贸
            "
4000-5000元,浙江金华,不限,不限,"
                        业务销售人员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
5000-6000元,浙江金华,20岁以上,男,"
                        农贸业务员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
3000-4000元,浙江金华义乌市,20岁-28岁,女,"
                        仓库文员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
6000-8000元,浙江金华义乌市,19岁-35岁,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        配货打包
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        客户经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        团队经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
